,0
st_nrvc sy_pmra,0.0
st_nrvc pl_orbper,-0.0
st_nrvc sy_gaiamag,0.0
st_nrvc st_rad,0.0
st_nrvc sy_bmag,0.0
st_nrvc sy_dist,0.0
st_nrvc st_teff,0.0
st_nrvc sy_w2mag,0.0
st_nrvc sy_w1mag,0.0
st_nrvc sy_w3mag,0.0
st_nrvc sy_w4mag,0.0
st_nrvc sy_plx,0.0
st_nrvc st_logg,0.0
st_nrvc st_mass,0.0
st_nrvc soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
st_nrvc soltype_Published Confirmed,0.0
st_nrvc pl_tsystemref_BJD,0.0
st_nrvc pl_tsystemref_BJD-TDB,0.0
st_nrvc pl_tsystemref_BJD-UTC,0.0
st_nrvc pl_tsystemref_HJD,0.0
st_nrvc pl_tsystemref_JD,0.0
pl_controv_flag^2,-0.0
pl_controv_flag disc_year,-0.0
pl_controv_flag sy_tmag,-0.0
pl_controv_flag sy_kmag,-0.0
pl_controv_flag sy_jmag,-0.0
pl_controv_flag sy_hmag,-0.0
pl_controv_flag sy_vmag,-0.0
pl_controv_flag sy_pm,-0.0
pl_controv_flag sy_pmdec,-0.0
pl_controv_flag sy_pmra,-0.0
pl_controv_flag pl_orbper,-0.0
pl_controv_flag sy_gaiamag,-0.0
pl_controv_flag st_rad,-0.0
pl_controv_flag sy_bmag,-0.0
pl_controv_flag sy_dist,0.0
pl_controv_flag st_teff,-0.0
pl_controv_flag sy_w2mag,-0.0
pl_controv_flag sy_w1mag,-0.0
pl_controv_flag sy_w3mag,-0.0
pl_controv_flag sy_w4mag,-0.0
pl_controv_flag sy_plx,-0.0
pl_controv_flag st_logg,-0.0
pl_controv_flag st_mass,-0.0
pl_controv_flag soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
pl_controv_flag soltype_Published Confirmed,-0.0
pl_controv_flag pl_tsystemref_BJD,-0.0
pl_controv_flag pl_tsystemref_BJD-TDB,0.0
pl_controv_flag pl_tsystemref_BJD-UTC,-0.0
pl_controv_flag pl_tsystemref_HJD,0.0
